Model,CV_AUC_Mean,CV_AUC_Std,CV_F1_Mean,CV_F1_Std,Acc@0.50,F1@0.50,Accuracy,F1_Score,Precision,Recall,ROC_AUC,MCC,Opt_Threshold
LOGISTIC REGRESSION,0.9364750957854406,0.02516445228284447,0.832657760399696,0.05426264956634257,0.6842105263157895,0.7464788732394366,0.6842105263157895,0.7464788732394366,0.8688524590163934,0.654320987654321,0.8133183688739244,0.3745286000898756,0.49190325892705206
Soft Voting (Tuned),,,,,0.6842105263157895,0.7352941176470589,0.7456140350877193,0.8079470198675497,0.8714285714285714,0.7530864197530864,0.8020950243172464,0.44749705969473874,0.3065252632203795
SVM,0.9678762999452655,0.020055502359919916,0.8742124127523109,0.04903347503031522,0.7105263157894737,0.7692307692307693,0.7456140350877193,0.8079470198675497,0.8714285714285714,0.7530864197530864,0.797979797979798,0.44749705969473874,0.18079345323174204
RANDOM FOREST CLASSIFIER,0.9820251778872467,0.014581412281968813,0.918368142578669,0.046829752922717585,0.7368421052631579,0.7972972972972973,0.7280701754385965,0.7891156462585034,0.8787878787878788,0.7160493827160493,0.7977927422371867,0.4350524711508843,0.5257764152236918
Soft Voting,0.7157045803199649,0.05021361819532658,,,0.6842105263157895,0.75,0.6929824561403509,0.7586206896551724,0.859375,0.6790123456790124,0.7976056864945753,0.37132599778765374,0.4466442114075803
XGBoost,0.9797427476737821,0.017936871215157565,0.9028467853443745,0.06458126003409172,0.6842105263157895,0.75,0.6929824561403509,0.7619047619047619,0.8484848484848485,0.691358024691358,0.7792742237186682,0.3567017891426682,0.44381219148635864
KNN,0.9893486590038314,0.011273486548109082,0.9207238787179204,0.04452755593583177,0.6666666666666666,0.7164179104477612,0.6228070175438597,0.6446280991735537,0.975,0.48148148148148145,0.7618780396558174,0.4287478674287883,1.0
Decision Tree,0.9607909140667761,0.031154045305276764,0.8844780970189318,0.057026319961419374,0.7017543859649122,0.7763157894736842,0.7192982456140351,0.7922077922077922,0.8356164383561644,0.7530864197530864,0.7399925177702956,0.36804243190120833,0.4832603710652492
